card_id,@qr_image,url
YSLC089,qrs/YSLC089.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC089
YSLC090,qrs/YSLC090.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC090
YSLC091,qrs/YSLC091.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC091
YSLC092,qrs/YSLC092.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC092
YSLC093,qrs/YSLC093.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC093
YSLC094,qrs/YSLC094.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC094
YSLC095,qrs/YSLC095.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC095
YSLC096,qrs/YSLC096.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC096
YSLC097,qrs/YSLC097.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC097
YSLC098,qrs/YSLC098.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC098
YSLC099,qrs/YSLC099.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC099
YSLC100,qrs/YSLC100.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC100
YSLC101,qrs/YSLC101.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC101
YSLC102,qrs/YSLC102.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC102
YSLC103,qrs/YSLC103.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC103
YSLC104,qrs/YSLC104.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC104
YSLC105,qrs/YSLC105.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC105
YSLC106,qrs/YSLC106.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC106
YSLC107,qrs/YSLC107.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC107
YSLC108,qrs/YSLC108.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC108
YSLC109,qrs/YSLC109.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC109
YSLC110,qrs/YSLC110.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC110
YSLC111,qrs/YSLC111.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC111
YSLC112,qrs/YSLC112.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC112
YSLC113,qrs/YSLC113.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC113
YSLC114,qrs/YSLC114.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC114
YSLC115,qrs/YSLC115.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC115
YSLC116,qrs/YSLC116.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC116
YSLC117,qrs/YSLC117.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC117
YSLC118,qrs/YSLC118.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC118
YSLC119,qrs/YSLC119.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC119
YSLC120,qrs/YSLC120.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC120
YSLC121,qrs/YSLC121.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC121
YSLC122,qrs/YSLC122.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC122
YSLC123,qrs/YSLC123.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC123
YSLC124,qrs/YSLC124.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC124
YSLC125,qrs/YSLC125.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC125
YSLC126,qrs/YSLC126.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC126
YSLC127,qrs/YSLC127.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC127
YSLC128,qrs/YSLC128.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC128
YSLC129,qrs/YSLC129.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC129
YSLC130,qrs/YSLC130.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC130
YSLC131,qrs/YSLC131.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC131
YSLC132,qrs/YSLC132.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC132
YSLC133,qrs/YSLC133.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC133
YSLC134,qrs/YSLC134.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC134
YSLC135,qrs/YSLC135.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC135
YSLC136,qrs/YSLC136.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC136
YSLC137,qrs/YSLC137.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC137
YSLC138,qrs/YSLC138.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC138
YSLC139,qrs/YSLC139.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC139
YSLC140,qrs/YSLC140.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC140
YSLC141,qrs/YSLC141.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC141
YSLC142,qrs/YSLC142.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC142
YSLC143,qrs/YSLC143.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC143
YSLC144,qrs/YSLC144.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC144
YSLC145,qrs/YSLC145.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC145
YSLC146,qrs/YSLC146.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC146
YSLC147,qrs/YSLC147.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC147
YSLC148,qrs/YSLC148.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC148
YSLC149,qrs/YSLC149.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC149
YSLC150,qrs/YSLC150.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC150
YSLC151,qrs/YSLC151.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC151
YSLC152,qrs/YSLC152.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC152
YSLC153,qrs/YSLC153.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC153
YSLC154,qrs/YSLC154.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC154
YSLC155,qrs/YSLC155.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC155
YSLC156,qrs/YSLC156.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC156
YSLC157,qrs/YSLC157.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC157
YSLC158,qrs/YSLC158.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC158
YSLC159,qrs/YSLC159.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC159
YSLC160,qrs/YSLC160.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC160
YSLC161,qrs/YSLC161.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC161
YSLC162,qrs/YSLC162.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC162
YSLC163,qrs/YSLC163.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC163
YSLC164,qrs/YSLC164.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC164
YSLC165,qrs/YSLC165.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC165
YSLC166,qrs/YSLC166.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC166
YSLC167,qrs/YSLC167.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC167
YSLC168,qrs/YSLC168.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC168
